DOCULECT	SOURCE	CLPA	STRUCTURE	NOTE
Chaozhou	h	h	i	
Chaozhou	Ø	NULL	i	
Chaozhou	ɿ	ɿ	n	
Chaozhou	a	a	n	
Chaozhou	o	o	n	
Chaozhou	e	e	n	
Chaozhou	ɯ	ɯ	n	
Chaozhou	ai	a i	n N	
Chaozhou	oi	o i	n N	
Chaozhou	au	a u	n N	
Chaozhou	ou	o u	n N	
Chaozhou	ã	ã ∼	n c	
Chaozhou	ẽ	ẽ ∼	n c	
Chaozhou	ãĩ	ã i ∼	n N c	
Chaozhou	õĩ	õ i ∼	n N c	
Chaozhou	ãũ	ã u ∼	n N c	
Chaozhou	õũ	õ u ∼	n N c	
Chaozhou	i	i	n	
Chaozhou	ia	i a	m n	
Chaozhou	ie	i e	m n	
Chaozhou	iu	i u	m n	
Chaozhou	iəu	i ə u	m n N	
Chaozhou	ĩ	ĩ ∼	n c	
Chaozhou	ĩã	i ã ∼	m n c	
Chaozhou	ĩẽ	i ẽ ∼	m n c	
Chaozhou	ĩũ	i ũ ∼	m n c	
Chaozhou	u	u	m	
Chaozhou	ua	u a	m n	
Chaozhou	ue	u e	m n	
Chaozhou	ui	u i	m n	
Chaozhou	uai	u a i	m n ŋ	
Chaozhou	ũã	u ã ∼	m n c	
Chaozhou	ũẽ	u ẽ ∼	m n c	
Chaozhou	ũĩ	u ĩ ∼	m n c	
Chaozhou	ũãĩ	u ã i ∼	m n c c	
Chaozhou	am	a m	n c	
Chaozhou	aŋ	a ŋ	n c	
Chaozhou	oŋ	o ŋ	n c	
Chaozhou	eŋ	e ŋ	n c	
Chaozhou	ɯŋ	ɯ ŋ	n c	
Chaozhou	ap	a p	n c	
Chaozhou	ak	a k	n c	
Chaozhou	ok	o k	n c	
Chaozhou	ek	e k	n c	
Chaozhou	ɯk	ɯ k	n c	
Chaozhou	im	i m	n c	
Chaozhou	iem	i e m	m n c	
Chaozhou	iŋ	i ŋ	n c	
Chaozhou	iaŋ	i a ŋ	m n c	
Chaozhou	ioŋ	i o ŋ	m n c	
Chaozhou	ieŋ	i e ŋ	m n c	
Chaozhou	ip	i p	n c	
Chaozhou	iep	i e p	m n c	
Chaozhou	ik	i k	n c	
Chaozhou	iak	i a k	m n c	
Chaozhou	iok	i o k	m n c	
Chaozhou	iek	i e k	m n c	
Chaozhou	uam	u a m	m n c	
Chaozhou	uŋ	u ŋ	n c	
Chaozhou	uaŋ	u a ŋ	m n c	
Chaozhou	ueŋ	u e ŋ	m n c	
Chaozhou	uap	u a p	m n c	
Chaozhou	uk	u k	n c	
Chaozhou	uak	u a k	m n c	
Chaozhou	uek	u e k	m n c	
Chaozhou	aʔ	a ʔ	n c	
Chaozhou	oʔ	o ʔ	n c	
Chaozhou	eʔ	e ʔ	n c	
Chaozhou	oiʔ	o i ʔ	n N c	
Chaozhou	auʔ	a u ʔ	n N c	
Chaozhou	ẽʔ	ẽ ∼ ʔ	n c c	
Chaozhou	iʔ	i ʔ	n c	
Chaozhou	iaʔ	i a ʔ	m n c	
Chaozhou	ieʔ	i e ʔ	m n c	
Chaozhou	iuʔ	i u ʔ	m n c	
Chaozhou	iəuʔ	i ə u ʔ	m n N c	
Chaozhou	ĩʔ	ĩ ∼ ʔ	n c c	
Chaozhou	uʔ	u ʔ	n c	
Chaozhou	uaʔ	u a ʔ	m n c	
Chaozhou	ueʔ	u e ʔ	m n c	
Chaozhou	m̩	m̩ ∼	n c	
Chaozhou	n̩	n̩ ∼	n c	
Chaozhou	ŋ̍	ŋ̍ ∼	n c	
Chaozhou	ŋ̍ʔ	ŋ̍ ∼ ʔ	n c c	
Chaozhou	³³	³³	t/ip	
Chaozhou	⁵⁵	⁵⁵	t/ap	
Chaozhou	⁵³	⁵³	t/is	
Chaozhou	³⁵	³⁵	t/as	
Chaozhou	²¹³	²¹³	t/iq	
Chaozhou	¹¹	¹¹	t/aq	
Chaozhou	²¹	²¹	t/ir	
Chaozhou	⁴	⁴	t/ar	
Meixian	p	p	i	
Meixian	p’	pʰ	i	
Meixian	m	m	i	
Meixian	f	f	i	
Meixian	v	v	i	
Meixian	t	t	i	
Meixian	t’	tʰ	i	
Meixian	n	n	i	
Meixian	l	l	i	
Meixian	ts	ts	i	
Meixian	ts’	tsʰ	i	
Meixian	s	s	i	
Meixian	ȵ	ɲ	i	
Meixian	j	j	i	
Meixian	k	k	i	
Meixian	k’	kʰ	i	
Meixian	ŋ	ŋ	i	
Meixian	h	h	i	
Meixian	Ø	NULL	i	
Meixian	ɿ	ɿ	n	
Meixian	a	a	n	
Meixian	ɛ	ɛ	n	
Meixian	ɔ	ɔ	n	
Meixian	ai	a i	n N	
Meixian	oi	o i	n N	
Meixian	au	a u	n N	
Meixian	ɛu	ɛ u	n N	
Meixian	i	i	n	
Meixian	ia	i a	m n	
Meixian	iai	i a i	m n N	
Meixian	iɔi	i ɔ i	m n N	
Meixian	iau	i a u	m n N	
Meixian	iu	i u	m n	
Meixian	u	u	n	
Meixian	ua	u a	m n	
Meixian	uɔ	u ɔ	m n	
Meixian	uai	u a i	m n c	
Meixian	uɔi	u ɔ i	m n c	
Meixian	ui	u i	m n	
Meixian	am	a m	n c	
Meixian	ɛm	ɛ m	n c	
Meixian	əm	ə m	n c	
Meixian	an	a n	n c	
Meixian	ɛn	ɛ n	n c	
Meixian	ɔn	ɔ n	n c	
Meixian	ən	ə n	n c	
Meixian	aŋ	a ŋ	n c	
Meixian	oŋ	o ŋ	n c	
Meixian	iam	i a m	m n c	
Meixian	im	i m	n c	
Meixian	ian	i a n	m n c	
Meixian	iɛn	i ɛ n	m n c	
Meixian	ion	i o n	m n c	
Meixian	in	i n	n c	
Meixian	iun	i u n	m n c	
Meixian	iaŋ	i a ŋ	m n c	
Meixian	iɔŋ	i ɔ ŋ	m n c	
Meixian	iuŋ	i u ŋ	m n c	
Meixian	uan	u a n	m n c	
Meixian	uɛn	u ɛ n	m n c	
Meixian	uɔn	u ɔ n	m n c	
Meixian	un	u n	n c	
Meixian	uaŋ	u a ŋ	m n c	
Meixian	uɔŋ	u ɔ ŋ	m n c	
Meixian	uŋ	u ŋ	n c	
Meixian	ap	a p	n c	
Meixian	ɛp	ɛ p	n c	
Meixian	əp	ə p	n c	
Meixian	at	a t	n c	
Meixian	ɛt	ɛ t	n c	
Meixian	ɔt	ɔ t	n c	
Meixian	ət	ə t	n c	
Meixian	ak	a k	n c	
Meixian	ɔk	ɔ k	n c	
Meixian	iap	i a p	m n c	
Meixian	ip	i p	n c	
Meixian	iat	i a t	m n c	
Meixian	iɛt	i ɛ t	m n c	
Meixian	iɔt	i ɔ t	m n c	
Meixian	it	i t	n c	
Meixian	iut	i u t	m n c	
Meixian	iak	i a k	m n c	
Meixian	iɔk	i ɔ k	m n c	
Meixian	iuk	i u k	m n c	
Meixian	uat	u a t	m n c	
Meixian	uɛt	u ɛ t	m n c	
Meixian	uɔt	u ɔ t	m n c	
Meixian	ut	u t	n c	
Meixian	uak	u a k	m n c	
Meixian	uɔk	u ɔ k	m n c	
Meixian	uk	u k	n c	
Meixian	m̩	m̩ ∼	n c	
Meixian	n̩	n̩ ∼	n c	
Meixian	ŋ̍	ŋ̍ ∼	n c	
Meixian	⁴⁴	⁴⁴	t/ip	
Meixian	¹²	¹²	t/ap	
Meixian	³¹	³¹	t/s	
Meixian	⁴²	⁴²	t/q	
Meixian	²¹	²¹	t/ir	
Meixian	⁴	⁴	t/ar	
Nanchang	p	p	i	
Nanchang	p’	pʰ	i	
Nanchang	m	m	i	
Nanchang	f	f	i	
Nanchang	t	t	i	
Nanchang	t’	tʰ	i	
Nanchang	l	l	i	
Nanchang	ts	ts	i	
Nanchang	ts’	tsʰ	i	
Nanchang	s	s	i	
Nanchang	tɕ	tɕ	i	
Nanchang	tɕ’	tɕʰ	i	
Nanchang	ȵ	ɲ	i	
Nanchang	ɕ	ɕ	i	
Nanchang	k	k	i	
Nanchang	k’	kʰ	i	
Nanchang	ŋ	ŋ	i	
Nanchang	h	h	i	
Nanchang	Ø	NULL	i	
Nanchang	ɿ	ɿ	n	
Nanchang	a	a	n	
Nanchang	ɛ	ɛ	n	
Nanchang	ɔ	ɔ	n	
Nanchang	ə	ə	n	
Nanchang	ai	a i	n N	
Nanchang	ei	e i	n N	
Nanchang	au	a u	n N	
Nanchang	ɛu	ɛ u	n N	
Nanchang	əu	ə u	n N	
Nanchang	i	i	n	
Nanchang	ia	i a	m n	
Nanchang	iɛ	i ɛ	m n	
Nanchang	iɛu	i ɛ u	m n N	
Nanchang	iu	i u	m n	
Nanchang	u	u	n	
Nanchang	ua	u a	m n	
Nanchang	uɔ	u ɔ	m n	
Nanchang	uai	u a i	m n N	
Nanchang	ui	u i	m n	
Nanchang	y	y	n	
Nanchang	yo	y o	m n	
Nanchang	an	a n	n c	
Nanchang	ɛn	ɛ n	n c	
Nanchang	ɔn	ɔ n	n c	
Nanchang	ɛn	ɛ n	n c	
Nanchang	aŋ	a ŋ	n c	
Nanchang	oŋ	o ŋ	n c	
Nanchang	at	a t	n c	
Nanchang	ɛt	ɛ t	n c	
Nanchang	ɔt	ɔ t	n c	
Nanchang	ət	ə t	n c	
Nanchang	ak	a k	n c	
Nanchang	ɔk	ɔ k	n c	
Nanchang	iɛn	i ɛ n	m n c	
Nanchang	in	i n	n c	
Nanchang	iaŋ	i a ŋ	m n c	
Nanchang	iŋ	i ŋ	n c	
Nanchang	iuŋ	i u ŋ	m n c	
Nanchang	iɛt	i ɛ t	m n c	
Nanchang	it	i t	n c	
Nanchang	iak	i a k	m n c	
Nanchang	iɔk	i ɔ k	m n c	
Nanchang	iuk	i u k	m n c	
Nanchang	uan	u a n	m n c	
Nanchang	uɔn	u ɔ n	m n c	
Nanchang	un	u n	n c	
Nanchang	uaŋ	u a ŋ	m n c	
Nanchang	uɔŋ	u ɔ ŋ	m n c	
Nanchang	uŋ	u ŋ	n c	
Nanchang	uat	u a t	m n c	
Nanchang	uɛt	u ɛ t	m n c	
Nanchang	uɔt	u ɔ t	m n c	
Nanchang	ut	u t	n c	
Nanchang	uɔk	u ɔ k	m n c	
Nanchang	uk	u k	n c	
Nanchang	yɔn	y ɔ n	m n c	
Nanchang	yn	y n	n c	
Nanchang	yɔt	y ɔ t	m n c	
Nanchang	yt	y t	n c	
Nanchang	m̩	m̩	n	
Nanchang	n̩	n̩	n	
Nanchang	ŋ̍	ŋ̍	n	
Nanchang	⁴²	⁴²	t/ip	
Nanchang	²⁴	²⁴	t/ap	
Nanchang	²¹³	²¹³	t/s	
Nanchang	⁵³	⁵³	t/iq	
Nanchang	⁵	⁵	t/r	
Fuzhou	p	p	i	
Fuzhou	p’	pʰ	i	
Fuzhou	m	m	i	
Fuzhou	(β)	β	i	
Fuzhou	t	t	i	
Fuzhou	t’	tʰ	i	
Fuzhou	n	n	i	
Fuzhou	l	l	i	
Fuzhou	ts	ts	i	
Fuzhou	ts’	tsʰ	i	
Fuzhou	s	s	i	
Fuzhou	(z)	z	i	
Fuzhou	k	k	i	
Fuzhou	k’	kʰ	i	
Fuzhou	ŋ	ŋ	i	
Fuzhou	x	x	i	
Fuzhou	(ȵ)	ɲ	i	
Fuzhou	Ø	Ø	i	
Fuzhou	a	a	n	
Fuzhou	ɛ	ɛ	n	
Fuzhou	ɔ	ɔ	n	
Fuzhou	œ	œ	n	
Fuzhou	ai	a i	n N	
Fuzhou	eu	e u	n N	
Fuzhou	-au	a u	n N	
Fuzhou	ia	i a	m n	
Fuzhou	i	i	n	
Fuzhou	(-ei)	e i	n N	
Fuzhou	ie	i e	m n	
Fuzhou	iu	i u	m n	
Fuzhou	ua	u a	m n	
Fuzhou	-ou	o u	n N	
Fuzhou	uɔ	u ɔ	m n	
Fuzhou	ui	u i	m n	
Fuzhou	uai	u a i	m n N	
Fuzhou	y	y	n	
Fuzhou	-øy	ø y	n N	
Fuzhou	(-ɵy)	ɵ y	n N	
Fuzhou	yo	y o	m n	
Fuzhou	aŋ	a ŋ	n c	
Fuzhou	aʔ	a ʔ	n c	
Fuzhou	ɛʔ	ɛ ʔ	n c	
Fuzhou	oʔ	o ʔ	n c	
Fuzhou	œʔ	œ ʔ	n c	
Fuzhou	iaŋ	i a ŋ	m n c	
Fuzhou	iŋ	i ŋ	n c	
Fuzhou	-eiŋ	e i ŋ	n N c	
Fuzhou	(-aiŋ)	a i ŋ	n N c	
Fuzhou	ieŋ	i e ŋ	m n c	
Fuzhou	iaʔ	i a ʔ	m n c	
Fuzhou	iʔ	i ʔ	n c	
Fuzhou	-eiʔ	e i ʔ	n N c	
Fuzhou	(-aiʔ)	a i ʔ	n N c	
Fuzhou	ieʔ	i e ʔ	m n c	
Fuzhou	uaŋ	u a ŋ	m n c	
Fuzhou	uŋ	u ŋ	n c	
Fuzhou	-ouŋ	o u ŋ	n N c	
Fuzhou	(-auŋ)	a u ŋ	n N c	
Fuzhou	uɔŋ	u ɔ ŋ	m n c	
Fuzhou	uaʔ	u a ʔ	m n c	
Fuzhou	uʔ	u ʔ	n c	
Fuzhou	˗ouʔ	o u ʔ	n N c	
Fuzhou	(-auʔ)	a u ʔ	n N c	
Fuzhou	uoʔ	u o ʔ	m n c	
Fuzhou	yŋ	y ŋ	n c	
Fuzhou	-øyŋ	ø y ŋ	n N c	
Fuzhou	(-ɵyŋ)	ɵ y ŋ	n N c	
Fuzhou	yoŋ	y o ŋ	m n c	
Fuzhou	yʔ	y ʔ	n c	
Fuzhou	-øyʔ	ø y ʔ	n N c	
Fuzhou	(-ɵyʔ)	ɵ y ʔ	n N c	
Fuzhou	yoʔ	y o ʔ	m n c	
Fuzhou	m̩	m̩ ∼	n c	
Fuzhou	ŋ̍	ŋ̍ ∼	n c	
Fuzhou	⁴⁴	⁴⁴	t/ip	
Fuzhou	⁵²	⁵²	t/ap	
Fuzhou	³¹	³¹	t/s	
Fuzhou	²¹³	²¹³	t/ir	
Fuzhou	²⁴²	²⁴²	t/ar	
Fuzhou	²³	²³	t/iq	
Fuzhou	⁴	⁴	t/aq	
Xiamen	p	p	i	
Xiamen	p’	pʰ	i	
Xiamen	b	b	i	
Xiamen	m	m/b	i	
Xiamen	t	t	i	
Xiamen	t’	tʰ	i	
Xiamen	n	n/l	i	
Xiamen	l	l	i	
Xiamen	ts	ts	i	
Xiamen	ts’	tsʰ	i	
Xiamen	s	s	i	
Xiamen	k	k	i	
Xiamen	k’	kʰ	i	
Xiamen	g	g	i	
Xiamen	ŋ	ŋ/g	i	
Xiamen	h	h	i	
Xiamen	Ø	NULL	i	
Xiamen	a	a	n	
Xiamen	ɔ	ɔ	n	
Xiamen	o	o	n	
Xiamen	e	e	n	
Xiamen	ai	a i	n N	
Xiamen	au	a u	n N	
Xiamen	ã	ã ∼	n c	
Xiamen	ɔ̃	ɔ̃ ∼	n c	
Xiamen	ẽ	ẽ ∼	n c	
Xiamen	ãĩ	ã i ∼	n N c	
Xiamen	ãũ	ã u ∼	n N c	
Xiamen	i	i	n	
Xiamen	ia	i a	m n	
Xiamen	io	i o	m n	
Xiamen	iu	i u	m n	
Xiamen	iau	i a u	m n N	
Xiamen	ĩ	ĩ ∼	n c	
Xiamen	ĩã	i ã ∼	m n c	
Xiamen	ĩũ	i ũ ∼	m n c	
Xiamen	ĩãũ	i ã u ∼	m n N c	
Xiamen	u	u	n	
Xiamen	ua	u a	m n	
Xiamen	ue	u e	m n	
Xiamen	ui	u i	m n	
Xiamen	uai	u a i	m n N	
Xiamen	ũã	u ã ∼	m n c	
Xiamen	ũĩ	u ĩ ∼	m n c	
Xiamen	ũãĩ	u ã i ∼	m n N c	
Xiamen	am	a m	n c	
Xiamen	an	a n	n c	
Xiamen	aŋ	a ŋ	n c	
Xiamen	ɔŋ	ɔ ŋ	n c	
Xiamen	ap	a p	n c	
Xiamen	at	a t	n c	
Xiamen	ak	a k	n c	
Xiamen	ɔk	ɔ k	n c	
Xiamen	im	i m	n c	
Xiamen	iam	i a m	m n c	
Xiamen	in	i n	n c	
Xiamen	ian	i a n	m n c	
Xiamen	iŋ	i ŋ	n c	
Xiamen	iaŋ	i a ŋ	m n c	
Xiamen	iɔŋ	i ɔ ŋ	m n c	
Xiamen	ip	i p	n c	
Xiamen	iap	i a p	m n c	
Xiamen	it	i t	n c	
Xiamen	iat	i a t	m n c	
Xiamen	ik	i k	n c	
Xiamen	iak	i a k	m n c	
Xiamen	iɔk	i ɔ k	m n c	
Xiamen	un	u n	n c	
Xiamen	uan	u a n	m n c	
Xiamen	uaŋ	u a ŋ	m n c	
Xiamen	ut	u t	n c	
Xiamen	uat	u a t	m n c	
Xiamen	uak	u a k	m n c	
Xiamen	aʔ	a ʔ	n c	
Xiamen	ɔʔ	ɔ ʔ	n c	
Xiamen	oʔ	o ʔ	n c	
Xiamen	eʔ	e ʔ	n c	
Xiamen	aiʔ	a i ʔ	n N c	
Xiamen	auʔ	a u ʔ	n N c	
Xiamen	ãʔ	ã ∼ ʔ	n c c	
Xiamen	ɔ̃ʔ	ɔ̃ ∼ ʔ	n c c	
Xiamen	ẽʔ	ẽ ∼ ʔ	n c c	
Xiamen	ãĩʔ	ã i ∼ ʔ	n N c c	
Xiamen	ãũʔ	ã u ∼ ʔ	n N c c	
Xiamen	iʔ	i ʔ	n c	
Xiamen	iaʔ	i a ʔ	m n c	
Xiamen	ioʔ	i o ʔ	m n c	
Xiamen	iuʔ	i u ʔ	m n c	
Xiamen	iauʔ	i a u ʔ	m n N c	
Xiamen	ĩʔ	ĩ ∼ ʔ	n c c	
Xiamen	ĩãʔ	i ã ∼ ʔ	m n c c	
Xiamen	ĩũʔ	i ũ ∼ ʔ	m n c c	
Xiamen	ĩãũʔ	i ã u ∼ ʔ	m n N c c	
Xiamen	uʔ	u ʔ	n c	
Xiamen	uaʔ	u a ʔ	m n c	
Xiamen	ueʔ	u e ʔ	m n c	
Xiamen	uiʔ	u i ʔ	n N c	
Xiamen	ũĩʔ	u ĩ ∼ ʔ	n N c c	
Xiamen	ũãĩʔ	u ã i ∼ ʔ	m n N c c	
Xiamen	m̩	m̩ ∼	n c	
Xiamen	ŋ̍	ŋ̍ ∼	n c	
Xiamen	m̩ʔ	m̩ ∼ ʔ	n c c	
Xiamen	ŋ̍ʔ	ŋ̍ ∼ ʔ	n c c	
Xiamen	⁵⁵	⁵⁵	t/ip	
Xiamen	²⁴	²⁴	t/ap	
Xiamen	⁵¹	⁵¹	t/s	
Xiamen	¹¹	¹¹	t/iq	
Xiamen	³³	³³	t/aq	
Xiamen	³²	³²	t/ir	
Xiamen	⁵	⁵	t/ar	
Guangzhou	p	p	i	
Guangzhou	p’	pʰ	i	
Guangzhou	m	m	i	
Guangzhou	f	f	i	
Guangzhou	t	t	i	
Guangzhou	t’	tʰ	i	
Guangzhou	n	n	i	
Guangzhou	l	l	i	
Guangzhou	tʃ	tʃ	i	
Guangzhou	tʃ’	tʃʰ	i	
Guangzhou	ʃ	ʃ	i	
Guangzhou	j	j	i	
Guangzhou	k	k	i	
Guangzhou	k’	kʰ	i	
Guangzhou	ŋ	ŋ	i	
Guangzhou	h	h	i	
Guangzhou	kw	kw	i	
Guangzhou	k’w	kʷʰ	i	
Guangzhou	w	w	i	
Guangzhou	Ø	NULL	i	
Guangzhou	a	a	n	
Guangzhou	ai	a i	n N	
Guangzhou	au	a u	n N	
Guangzhou	am	a m	n c	
Guangzhou	an	a n	n c	
Guangzhou	aŋ	a ŋ	n c	
Guangzhou	ap	a p	n c	
Guangzhou	at	a t	n c	
Guangzhou	ak	a k	n c	
Guangzhou	ɐi	ɐ i	n N	
Guangzhou	ɐu	ɐ u	n N	
Guangzhou	ɐm	ɐ m	n c	
Guangzhou	ɐn	ɐ n	n c	
Guangzhou	ɐŋ	ɐ ŋ	n c	
Guangzhou	ɐp	ɐ p	n c	
Guangzhou	ɐt	ɐ t	n c	
Guangzhou	ɐk	ɐ k	n c	
Guangzhou	ɛ	ɛ	n	
Guangzhou	ei	e i	n N	
Guangzhou	eŋ	e ŋ	n c	
Guangzhou	ɛk	ɛ k	n c	
Guangzhou	œ	œ	n	
Guangzhou	øy	ø y	n N	
Guangzhou	øn	ø n	n c	
Guangzhou	œŋ	œ ŋ	n c	
Guangzhou	øt	ø t	n c	
Guangzhou	øk	ø k	n c	
Guangzhou	ɔ	ɔ	n	
Guangzhou	ɔi	ɔ i	n N	
Guangzhou	ɔu	ɔ u	n N	
Guangzhou	ɔn	ɔ n	n c	
Guangzhou	ɔŋ	ɔ ŋ	n c	
Guangzhou	ɔt	ɔ t	n c	
Guangzhou	ɔk	ɔ k	n c	
Guangzhou	i	i	n	
Guangzhou	iu	i u	n N	
Guangzhou	im	i m	n c	
Guangzhou	in	i n	n c	
Guangzhou	iŋ	i ŋ	n c	
Guangzhou	ip	i p	n c	
Guangzhou	it	i t	n c	
Guangzhou	ik	i k	n c	
Guangzhou	u	u	n	
Guangzhou	ui	u i	n N	
Guangzhou	un	u n	n c	
Guangzhou	ʊŋ	ʊ ŋ	n c	
Guangzhou	ut	u t	n c	
Guangzhou	uk	u k	n c	
Guangzhou	y	y	n	
Guangzhou	yn	y n	n c	
Guangzhou	yt	y t	n c	
Guangzhou	m̩	m̩ ∼	n c	
Guangzhou	ŋ̍	ŋ̍ ∼	n c	
Guangzhou	⁵⁵/⁵³	⁵⁵/⁵³	t/ip	
Guangzhou	²¹	²¹	t/ap	
Guangzhou	³⁵	³⁵	t/is	
Guangzhou	²³	²³	t/as	
Guangzhou	³³	³³	t/iq	
Guangzhou	²²	²²	t/aq	
Guangzhou	⁵	⁵	t/ir	
Guangzhou	³³	³³	t/ir	
Guangzhou	²²/²	²²/²	t/ar	
Xi_an	p	p	i	
Xi_an	p’	pʰ	i	
Xi_an	m	m	i	
Xi_an	pf	pf	i	
Xi_an	pf’	pfʰ	i	
Xi_an	f	f	i	
Xi_an	v	v	i	
Xi_an	t	t	i	
Xi_an	t’	tʰ	i	
Xi_an	n	n	i	
Xi_an	l	l	i	
Xi_an	ts	ts	i	
Xi_an	ts’	tsʰ	i	
Xi_an	s	s	i	
Xi_an	tʂ	ʈʂ	i	
Xi_an	tʂ’	ʈʂʰ	i	
Xi_an	ʂ	ʂ	i	
Xi_an	ʐ	ʐ	i	
Xi_an	tɕ	tɕ	i	
Xi_an	tɕ’	tɕʰ	i	
Xi_an	ȵ	ɲ	i	
Xi_an	ɕ	ɕ	i	
Xi_an	k	k	i	
Xi_an	k’	kʰ	i	
Xi_an	ŋ	ŋ	i	
Xi_an	x	x	i	
Xi_an	Ø	NULL	i	
Xi_an	ɿ	ɿ	n	
Xi_an	ʅ	ʅ	n	
Xi_an	ɚ	ɚ	n	
Xi_an	ɑ	ɑ	n	
Xi_an	o	o	n	
Xi_an	ə	ə	n	
Xi_an	æ	æ	n	
Xi_an	ei	e i	n N	
Xi_an	ɑu	ɑ u	n N	
Xi_an	ou	o u	n N	
Xi_an	æ̃	æ̃ ∼	n c	
Xi_an	ẽ	ẽ ∼	n c	
Xi_an	ɑŋ	ɑ ŋ	n c	
Xi_an	əŋ	ə ŋ	n c	
Xi_an	i	i	n	
Xi_an	ia	i a	m n	
Xi_an	ia	i a	m n	
Xi_an	iɑu	i ɑ u	m n N	
Xi_an	iou	i o u	m n N	
Xi_an	iæ̃	i æ̃ ∼	m n c	
Xi_an	iẽ	i ẽ ∼	m n c	
Xi_an	iɑŋ	i ɑ ŋ	m n c	
Xi_an	iŋ	i ŋ	n c	
Xi_an	u	u	n	
Xi_an	uɑ	u ɑ	m n	
Xi_an	uo	u o	m n	
Xi_an	uæ	u æ	m n	
Xi_an	uei	u e i	m n N	
Xi_an	uæ̃	u æ̃ ∼	m n c	
Xi_an	uẽ	u ẽ ∼	m n c	
Xi_an	uɑŋ	u ɑ ŋ	m n c	
Xi_an	uoŋ	u o ŋ	m n c	
Xi_an	y	y	n	
Xi_an	yo	y o	m n	
Xi_an	ye	y e	m n	
Xi_an	yæ̃	y æ̃ ∼	m n c	
Xi_an	yẽ	y ẽ ∼	m n c	
Xi_an	yoŋ	y o ŋ	m n c	
Xi_an	²¹	²¹	t/ip	
Xi_an	²⁴/²¹	²⁴/²¹	t/ip	
Xi_an	²⁴	²⁴	t/ap	
Xi_an	⁵³	⁵³	t/s	
Xi_an	⁴⁵	⁴⁵	t/q	
