Character	Beijing	Changsha	Chengdu	Fuzhou	Guangzhou	Guiyang	Haerbin	Haikou	Hangzhou	Hefei	Huhehaote	Jian_ou	Jinan	Kunming	Lanzhou	Meixian	Nanchang	Nanjing	Nanning	Pingyao	Qingdao	Shanghai	Shantou	Shexian	Suzhou	Taibei	Taiyuan	Taoyuan	Tianjin	Tunxi	Wenzhou	Wuhan	Wulumuqi	Xi_an	Xiamen	Xianggang	Xiangtan	Xining	Yinchuan	Zhengzhou
下	11	9	10	2	4	5	4	4	1	4	6	1	6	5	7	4	4	5	3	16	6	2	4	5	2	3	5	6	4	6	6	9	7	5	6	3	4	9	5	7
鸡	2	5	4	2	4	4	2	5	5	3	2	2	3	2	3	2	4	2	4	3	2	4	2	3	3	4	2	2	2	4	4	4	2	2	3	4	4	2	2	2
臭	2	2	2	1	1	2	2	1	2	2	1	1	2	1	1	1	2	2	1	1	2	2	1	1	1	2	1	1	2	1	1	2	2	2	2	1	2	2	2	2
面	6	5	8	2	2	2	1	3	1	1	2	3	4	1	4	3	1	3	3	9	3	7	2	3	4	6	3	2	1	4	15	2	1	1	8	2	2	5	8	7
年	4	6	8	3	6	13	3	4	5	4	6	4	7	4	6	4	6	5	4	10	7	6	3	5	4	3	6	3	6	3	3	5	7	3	3	5	5	5	7	9
月	3	3	3	3	4	2	3	6	2	1	3	3	4	3	3	2	1	3	3	3	4	2	3	1	2	2	4	3	4	2	3	2	3	3	4	4	2	4	3	4
风	2	3	4	3	3	1	2	3	3	2	2	1	2	3	1	2	2	3	2	1	1	3	1	3	3	2	2	1	2	4	3	3	3	1	1	3	2	2	3	2
七	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
盐	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1	2	1	1
短	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
四	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
头	13	11	12	8	10	9	12	11	13	14	11	8	11	8	14	6	13	16	8	12	8	18	6	17	16	10	9	10	12	15	17	17	12	8	14	9	13	14	16	13
长	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
雨	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	3	2	1
舅	3	5	4	2	1	5	4	1	2	3	2	3	3	4	2	2	2	3	1	2	2	5	1	5	2	1	2	1	4	2	3	6	3	1	1	1	5	2	4	1
三	2	3	4	2	1	3	2	4	2	2	3	2	4	2	2	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2	2	2	4	2	2	1	3	4	2	2
鼻	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	2	1	2	1	1	2
老	8	6	12	4	5	6	9	4	6	6	9	5	8	5	2	4	4	5	5	8	8	9	3	10	6	5	6	2	8	8	12	7	7	6	4	7	10	7	15	4
九	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	4	1	1	1	1	1
房	3	3	6	1	3	4	2	3	4	1	6	1	4	3	3	1	3	3	3	3	3	2	2	1	2	2	3	2	3	1	4	4	5	3	3	3	4	5	7	3
甜	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	2
星	3	2	4	1	2	2	2	1	2	2	3	2	4	2	2	2	1	2	1	2	1	2	2	1	1	1	3	1	2	2	2	3	4	3	2	2	3	5	6	2
雪	1	1	3	2	2	1	1	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1
病	2	2	2	5	2	2	2	2	3	1	4	3	3	2	2	2	3	4	1	2	3	3	2	1	3	2	2	2	3	1	3	4	2	2	2	2	3	4	1	4
五	2	1	2	4	3	2	2	5	1	1	3	2	3	3	2	2	1	2	4	4	3	3	2	1	4	3	3	2	3	1	3	1	3	2	3	3	1	3	3	3
十	6	7	8	6	6	8	6	10	6	6	8	7	9	7	7	6	6	6	7	7	8	3	6	6	3	6	7	6	7	7	5	6	9	6	6	6	7	9	7	7
二	8	6	6	4	6	6	7	8	6	7	6	8	7	6	6	5	8	6	6	8	13	4	4	6	4	6	9	5	8	6	3	6	8	7	6	6	6	6	10	6
酸	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
麦	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2
豆	2	3	3	1	3	1	3	1	1	3	1	1	2	1	1	1	1	2	2	1	3	3	1	1	1	2	1	2	3	1	1	2	1	1	2	3	3	1	3	2
八	2	1	3	2	2	2	2	3	2	1	2	2	3	2	3	1	1	2	3	2	2	1	1	1	2	2	2	2	4	1	2	2	2	2	3	2	1	2	2	2
两	1	2	2	4	2	2	1	3	2	1	2	2	2	2	3	3	2	2	2	1	2	2	4	3	3	4	1	3	1	4	4	4	2	1	3	2	2	2	2	2
六	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
公	2	5	4	3	6	5	1	12	3	2	1	5	2	4	1	6	7	4	7	1	2	5	2	5	1	4	2	6	2	6	3	6	2	1	5	6	8	1	2	2
一	7	4	5	4	6	5	5	8	6	5	4	8	5	4	7	4	4	7	4	6	5	5	4	6	4	7	4	4	5	5	5	5	4	5	9	6	5	6	5	5
手	3	6	10	7	5	6	4	6	8	2	4	6	5	5	2	4	2	4	6	2	2	6	5	4	3	4	4	3	5	6	5	6	5	3	10	5	6	3	3	3
中	1	4	4	2	3	3	0	1	4	3	4	3	3	5	2	2	6	3	2	1	2	5	2	4	4	3	2	1	1	4	4	4	4	1	5	2	5	3	4	2
梯	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
热	1	1	1	1	2	1	1	0	1	1	1	1	1	4	1	1	1	1	2	1	1	2	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
咸	1	1	1	0	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1
窗	1	1	2	0	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	2	2	2	1	1	2	2	3	2	2
妈	5	5	6	4	2	4	4	6	6	2	3	3	2	2	1	0	3	4	1	1	1	4	3	1	2	2	1	2	6	1	1	4	3	5	5	2	4	7	8	1
猪	3	5	4	3	4	6	3	5	6	5	5	0	6	4	5	3	3	5	5	3	4	4	3	4	3	3	3	3	3	4	4	4	3	3	3	3	5	4	6	6
菜	2	2	1	3	2	1	2	1	2	2	2	1	4	1	2	3	3	2	2	1	2	2	0	2	2	2	2	3	3	3	2	2	2	1	2	2	4	2	4	3
里	5	11	4	2	1	2	3	1	8	2	2	4	13	1	9	2	12	6	2	3	3	8	1	5	3	1	7	2	5	6	3	8	6	4	6	0	7	9	10	4
雷	1	1	2	0	1	2	1	3	1	1	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2
生	1	1	1	2	3	7	1	2	5	1	2	1	1	1	1	1	1	3	3	3	1	5	5	2	1	2	3	4	1	3	3	3	0	1	4	3	1	1	2	3
第	2	2	2	2	2	2	2	2	2	5	2	2	2	2	0	2	2	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2
包	1	2	1	2	1	2	1	1	1	2	1	1	3	2	1	2	3	2	2	1	1	0	1	2	2	1	1	2	1	3	1	1	3	1	2	1	3	1	5	2
醋	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	0	1	1	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1
厨	2	2	2	1	1	2	1	1	2	1	3	1	3	2	2	2	1	3	2	1	1	1	2	0	0	1	2	1	2	1	7	1	2	2	3	2	3	3	2	2
门	3	1	3	1	2	5	4	1	4	1	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	0	1	2	1	1	2	3	1	1	0	2	2	1	3	3
指	2	3	7	2	1	4	2	0	2	1	3	1	5	2	2	2	2	4	2	2	2	2	2	1	0	3	2	2	2	6	3	4	2	2	2	2	4	2	2	3
烟	1	1	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	2	1	1	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2
外	4	4	6	4	0	3	1	7	3	3	1	3	3	3	4	3	2	2	3	2	1	4	4	3	3	3	1	1	2	5	5	4	3	4	4	0	4	4	5	3
瓜	4	3	1	1	2	1	3	1	1	1	2	1	2	1	1	1	3	2	2	2	2	2	1	2	1	1	1	0	3	2	2	2	0	1	2	3	1	1	1	1
今	2	6	3	2	3	3	2	4	0	1	4	2	3	2	4	2	3	5	2	2	2	3	2	2	2	2	3	2	2	2	0	3	3	2	2	2	3	2	3	3
早	2	1	1	1	1	3	1	1	1	1	1	2	3	2	1	0	1	1	1	2	1	1	1	1	1	1	3	1	2	1	0	2	1	1	3	1	1	3	2	2
茄	1	2	2	0	1	2	1	3	2	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	1	1	0	1	1	2	2	1	1	1	1	2	2	1	3
好	1	1	3	3	1	1	1	0	2	3	1	2	5	2	1	1	4	3	1	6	1	4	0	4	2	2	3	2	1	4	3	3	5	1	4	1	1	0	4	2
娘	2	5	6	6	1	3	3	2	3	0	1	3	4	2	2	0	5	1	2	3	4	4	3	1	4	1	7	0	4	1	13	4	1	1	1	1	5	1	2	4
粗	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	1	1
男	4	4	7	1	2	7	2	0	3	1	5	1	4	4	2	1	3	7	2	3	2	4	0	2	3	0	3	1	2	3	3	6	3	1	1	2	3	2	3	2
日	3	7	1	4	7	0	1	7	1	1	3	3	1	3	2	7	5	1	4	7	5	4	6	3	3	4	2	6	0	6	8	5	0	2	7	8	10	2	4	2
明	2	6	3	2	1	3	1	1	0	1	4	2	2	3	4	0	3	5	1	3	3	3	1	2	0	2	3	0	2	2	2	2	2	2	3	1	3	3	3	4
油	1	1	2	1	2	1	0	1	1	1	1	1	1	1	0	0	1	2	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
冰	1	1	3	1	1	3	1	1	2	1	2	1	0	2	1	1	1	3	2	0	0	2	1	2	2	2	1	2	0	3	2	2	3	1	2	1	1	1	4	2
人	3	6	8	0	3	4	5	0	5	0	8	8	3	2	6	4	0	8	3	7	1	9	2	10	4	1	2	5	2	7	2	4	6	6	4	4	9	5	4	5
香	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1
婶	1	2	2	2	3	2	2	1	1	1	3	4	1	2	2	0	4	3	2	2	1	3	1	1	2	1	2	0	1	1	3	0	2	0	1	3	2	1	6	2
个	12	5	8	0	4	8	5	10	6	13	11	0	5	8	19	2	8	8	1	0	5	6	5	6	6	4	2	0	12	5	5	7	12	14	5	4	4	8	10	10
我	2	4	3	2	1	3	2	2	3	3	2	2	2	5	3	0	4	3	1	2	2	2	1	0	0	1	2	0	2	3	3	6	2	1	1	1	3	5	4	2
双	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1
女	5	4	7	1	3	8	1	0	3	1	7	0	6	4	4	0	5	8	4	5	2	4	0	6	1	0	5	1	4	1	2	7	3	4	1	3	2	4	5	4
上	3	3	6	0	2	2	4	2	3	0	3	1	4	1	1	1	1	2	1	2	6	1	0	2	1	0	1	1	3	1	3	4	1	1	0	2	2	1	1	5
正	2	0	2	6	1	5	2	0	1	1	3	2	3	2	1	1	2	1	1	4	1	3	2	0	1	3	2	2	2	1	4	2	1	0	3	1	3	0	1	1
菠	1	1	1	2	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	1	1
左	2	3	6	0	3	2	2	1	1	2	2	2	2	2	2	2	3	2	2	0	2	3	0	0	0	2	3	2	2	2	1	3	4	3	2	3	3	3	5	3
楼	1	1	1	1	1	1	2	1	0	1	1	1	1	1	1	0	1	1	1	1	2	0	1	0	0	1	1	1	2	2	1	1	2	2	2	1	1	2	1	2
桌	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	2	0	1	3	3	2
间	1	2	3	0	4	2	1	0	3	3	2	2	2	5	0	2	2	2	1	1	2	5	0	0	3	1	1	2	1	1	5	2	1	0	1	3	3	5	1	2
虹	3	1	2	1	1	1	2	1	0	1	1	1	1	1	0	0	1	1	1	1	2	1	1	2	0	1	1	0	1	1	0	2	2	1	1	1	1	1	1	1
瘦	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	2	1
你	2	3	2	0	1	2	2	0	2	2	2	2	3	4	2	2	3	2	1	1	1	0	0	0	0	1	2	3	2	2	3	3	2	3	1	1	2	2	2	2
拜	1	0	1	2	1	1	1	1	1	1	1	1	2	1	0	0	2	2	1	1	1	1	0	1	1	2	1	1	2	1	1	1	1	0	2	1	1	0	2	1
便	1	1	1	1	10	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	2	1	2	1	1	1	1	1	1	1	10	1	1	1	1
甲	1	1	2	2	0	2	0	1	0	1	1	1	3	1	1	1	1	2	1	1	1	0	1	1	0	1	1	1	0	1	1	2	1	1	1	1	2	1	1	1
母	2	0	5	3	2	3	4	4	2	4	2	1	4	3	5	0	2	4	3	2	3	4	4	1	0	7	1	0	4	5	0	9	3	2	7	2	0	3	4	3
死	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1
礼	1	0	1	2	1	1	1	1	1	1	1	1	2	1	0	0	2	2	1	1	1	1	0	1	1	2	1	1	2	1	1	1	1	0	2	1	1	0	2	1
阳	1	1	2	0	1	2	1	0	1	1	2	1	2	2	2	0	2	1	0	1	2	1	0	1	1	2	2	1	1	1	2	2	1	1	2	1	2	0	2	1
细	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	2	1	1	1	1	1	1	0	1	1	0	2	2	1	0	4	1	1	1	0	1	1	1	1	1
大	4	1	1	2	1	1	6	0	5	4	10	0	7	2	5	0	3	1	1	6	5	1	0	3	3	1	6	0	5	0	7	2	4	3	0	1	2	7	5	8
饭	5	3	5	0	2	5	5	0	3	3	5	0	9	3	2	0	4	4	3	6	4	5	0	4	4	0	6	1	6	4	2	7	7	4	0	2	3	4	8	5
婆	1	6	6	0	3	4	1	8	5	0	2	1	1	5	2	3	7	3	4	5	2	2	1	5	6	0	2	2	0	4	4	4	2	1	0	3	5	0	3	0
子	24	47	36	0	1	25	31	2	10	26	37	0	34	18	30	0	35	25	0	29	16	14	0	5	8	0	23	0	28	7	3	26	20	18	1	1	34	21	55	1
爷	8	4	4	1	3	4	6	0	0	2	4	4	7	0	3	1	2	2	3	9	3	3	0	4	1	0	4	0	5	3	4	3	4	3	0	3	5	6	6	6
右	2	3	4	0	3	2	2	1	1	2	2	2	2	2	2	2	3	2	2	0	2	3	0	0	0	0	3	0	2	2	1	3	4	3	2	3	3	3	5	3
家	2	2	7	9	0	1	3	1	4	0	6	0	4	3	1	2	0	3	0	8	1	3	1	13	3	1	11	2	4	8	0	7	5	0	1	1	3	6	4	2
筷	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	3	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	3	1	1
自	1	1	1	1	2	2	2	0	1	1	0	1	2	2	0	1	2	2	1	1	3	1	0	1	1	0	1	0	1	1	1	2	2	2	0	1	1	0	2	2
太	1	1	1	0	1	6	1	0	1	1	1	0	1	2	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	2	2	2	1	1	1	1	2	0	1	1
冷	1	1	1	0	0	1	1	0	1	1	3	0	2	2	0	0	1	1	1	3	1	1	0	1	1	1	1	1	1	1	2	1	1	2	1	0	1	1	2	2
葵	2	1	3	2	2	1	2	1	2	1	2	0	0	0	2	1	1	2	1	0	1	2	1	1	1	0	1	0	0	1	0	2	1	1	1	1	1	1	2	1
爸	1	0	5	2	2	2	3	8	3	0	2	2	4	0	2	1	3	2	1	0	0	0	1	0	0	1	1	3	3	1	2	2	4	3	4	2	2	2	6	1
师	1	2	2	1	0	1	1	0	1	0	2	1	1	1	1	2	1	1	0	0	1	1	1	1	1	1	2	0	1	1	4	1	0	0	2	1	2	1	1	1
淡	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	2	1	1	1	1	0
闪	1	1	1	0	1	2	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	3	0	1	1	0	2	1	0	0	1	1	0	1	1	1	1	2
雹	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1
午	3	1	4	0	3	2	0	1	1	1	3	0	4	1	2	0	1	1	0	2	1	2	0	1	1	0	2	0	1	2	0	2	5	1	3	3	2	4	5	3
鼠	0	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	2	2	1	1
宜	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
天	2	1	6	0	0	7	4	2	2	2	3	0	5	1	3	1	0	5	1	1	1	2	0	2	0	1	3	2	1	1	2	5	7	0	0	0	1	2	5	5
从	1	1	1	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1
只	1	4	1	2	4	1	1	0	3	1	0	0	1	1	0	1	5	1	1	0	0	3	2	3	3	3	0	2	1	3	1	1	1	0	3	4	3	0	1	1
叔	1	2	0	2	1	3	3	1	0	0	2	2	3	0	0	2	3	2	2	0	2	3	1	1	1	1	2	1	0	1	1	4	2	0	1	1	2	0	3	1
雀	1	1	2	0	1	2	1	0	0	0	3	0	2	2	1	0	2	1	1	3	1	1	1	1	1	0	2	0	1	1	2	2	1	1	0	1	2	1	4	0
酱	1	1	1	0	0	1	1	0	1	1	1	1	2	2	2	0	1	1	0	1	2	1	0	1	1	0	1	0	1	1	1	1	2	2	0	0	1	2	2	1
肚	2	2	2	0	2	1	3	0	1	0	1	0	1	3	1	2	2	2	2	1	1	0	0	0	2	0	1	6	2	2	1	2	1	0	0	1	3	2	3	2
腿	1	1	4	1	0	2	1	1	0	1	1	1	2	1	2	0	0	1	1	1	2	0	0	2	0	1	1	0	4	0	2	1	1	1	2	0	3	1	3	1
额	0	2	1	1	2	1	0	1	2	1	0	1	1	2	0	2	0	1	1	0	1	1	1	2	1	2	0	1	0	1	2	1	0	1	1	2	1	1	0	1
床	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1
节	4	2	2	2	1	0	2	2	0	2	0	2	1	1	1	2	2	6	0	0	0	4	1	4	5	3	0	1	2	2	1	0	0	2	6	1	2	0	2	2
净	1	1	1	0	2	1	2	0	1	0	3	0	1	1	1	1	2	1	1	2	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	2	0	1	1	1
姆	1	2	1	2	1	1	1	0	4	0	1	3	1	1	0	5	3	1	1	0	0	3	2	5	2	0	1	0	0	1	1	2	1	0	2	1	2	2	0	1
花	2	1	4	1	1	1	3	0	1	2	1	0	2	3	2	0	1	2	0	2	1	1	0	1	0	1	2	1	2	0	1	2	2	1	1	0	1	0	3	0
医	1	1	1	1	2	3	0	1	2	1	1	1	0	1	0	1	1	1	1	1	0	2	2	0	0	2	1	2	0	1	2	2	0	0	2	2	1	0	1	1
保	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	1	1	0	1
结	1	0	1	1	1	2	0	2	1	1	1	1	0	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1
干	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	2	1	1	1	1	0	0	1	2	0	1	0	1	0	1	1	2	1	2	1	0	1	2	1
打	2	1	1	0	1	1	2	0	1	2	2	0	3	0	2	0	2	2	1	2	3	1	0	4	0	0	1	1	4	1	2	2	1	0	0	1	1	0	2	5
昨	1	2	1	1	0	1	1	2	0	2	1	1	1	1	2	0	1	3	0	0	0	2	0	2	1	1	0	1	1	1	1	2	1	0	1	0	2	0	2	1
意	1	1	0	2	0	2	1	1	0	1	0	0	1	2	1	2	0	2	0	1	0	1	0	1	1	2	2	0	1	2	1	1	1	1	3	0	2	1	1	1
亮	1	4	1	2	1	1	1	0	1	2	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1
伯	0	3	5	2	4	4	0	2	4	3	0	3	0	0	0	3	4	2	4	0	0	5	2	2	2	1	0	2	3	2	3	6	2	1	1	3	5	0	0	3
起	0	1	1	1	0	1	0	1	1	1	2	1	0	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	0	1	2	1	1	0	2	0	2	1	2	0
