NAME	ALT_NAME	PINYIN	HANZI	LATITUDE	LONGITUDE	BAIDU	GLOTTOLOG	ISO	FAMILY	SUBGROUP	SUBGROUP_CHINESE	SUBGROUP_PINYIN	CLASSIFICATION_KURPASKA	NOTE
Beijing	Peking	Běijīng	北京	39.9385466	116.1172766		beij1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Beijng	
Jinan		Jǐnán	济南	36.690777	116.997299		jina1245	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jilu	
Xi_an	Xi'an, Xi’an	Xī’ān	西安	34.228154	108.960571		xian1253	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Taiyuan		Tàiyuán	太原	37.8632119	112.4024883		taiy1243	cjy	Sinitic	Jin	晋	Jìn	Jin	
Wuhan		Wǔhàn	武汉	30.624086	114.305649		wuha1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Chengdu		Chéngdū	成都	30.605768	103.970947		chen1267	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Hefei		Héféi	合肥	31.873593	117.223663		hefe1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jianghuai	
Yangzhou	Yangchow	Yángzhōu	揚州	32.4171449	119.209227		yang1306	cmn	Sinitic	Mandarin	管话	Guānhuà		
Suzhou		Sūzhōu	苏州	31.3280439	120.364116		suzh1234	wuu	Sinitic	Wu	吴	Wú	Wu, Taihu	
Wenzhou		Wēnzhōu	温州	28.005496	120.701179		ouji1238	(wuu)	Sinitic	Wu	吴	Wú	Wu, Oujiang	
Changsha		Chángshā	长沙	28.85032	112.943344		chan1326	hsn	Sinitic	Xiang	湘	Xiāng	Xiang	
Shuangfeng		Shuāngfēng	双峰	27.4569781	111.916486		shua1258	hsn	Sinitic	Xiang	湘	Xiāng		Shuangfeng is a part of the city Loudi (a xian) in Hunan.
Nanchang		Nánchāng	南昌	28.706609	115.857468		nanc1254	gan	Sinitic	Gan	赣	Gàn	Gan	
Meixian		Méixiàn	梅县	24.3522958	115.8903375		yuet1238	hak	Sinitic	Hakka	客家	Kèjiā	Hakka	
Guangzhou		Guǎngzhōu	广州	23.1253503	112.9476548		guan1279	yue	Sinitic	Yue	粤	Yuè	Yue, Guangfu	
Yangjiang		Yángjiāng	阳江	21.7895612	111.966667		yang1307	yue	Sinitic	Yue	粤	Yuè		
Xiamen		Xiàmén	厦门	24.49421	118.08918		xiam1236	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Chaozhou		Cháozhōu	潮州	23.666667	116.633333		chao1238	nan	Sinitic	Min	闽	Mǐn		
Fuzhou	Foochow	Fúzhōu	福州	26.08904	119.294243		fuzh1239	cdo	Sinitic	Min	闽	Mǐn	闽	
Jian_ou	Jian'ou, Jian’ou	Jiàn’ōu	建瓯	27.04237	118.307419		jian1240	mnp	Sinitic	Min	闽	Mǐn	Min, Northern	
Shenyang		Shěnyáng	沈阳	41.8049906	123.1563167		shen1252	cmn	Sinitic	Mandarin	管话	Guānhuà		
Kunming		Kūnmíng	昆明	25.049711	102.72274		kunm1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Shanghai		Shànghǎi	上海	31.222902	121.475372		shan1293	wuu	Sinitic	Wu	吴	Wú	Wu, Taihu	
Hangzhou		Hángzhōu	杭州	30.261316	120.0318057		hang1257	(wuu)	Sinitic	Wu	吴	Wú	Wu, Taihu	
Nanning		Nánníng	南宁	22.848716	108.366165		nann1239	(wuu)	Sinitic	Pinghua	平话	Pínghuà	Pinghua	
Xianggang	Hong Kong	Xiānggǎng	香港	22.422645	114.098396		xian1255	yue	Sinitic	Yue	粤	Yuè	Yue	
Shantou		Shàntóu	汕头	23.3372419	116.6068173		shan1244	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Haikou		Hǎikǒu	海口	20.043869	110.329399		hain1237	nan	Sinitic	Min	闽	Mǐn	Min, Qiongwen	
Taibei		Táiběi	台北	25.0853403	121.4231642		taib1242	nan	Sinitic	Min	闽	Mǐn	Min, Southern	
Taoyuan		Táoyuán	桃园	24.854549	120.9520006		taoy1234	hak	Sinitic	Hakka	客家	Kèjiā	Hakka	
Xiangtan		Xiāngtán	湘潭	27.8482649	112.7688127		xian1254	hsn	Sinitic	Xiang	湘	Xiāng	Xiang	
Shexian		Shèxiàn	歙县	30.589829	118.428268		shex1234	czh	Sinitic	Hui	徽	Huī	Hui	
Tunxi		Tūnxī	屯溪	29.7201616	118.2294365		tunx1234	czh	Sinitic	Hui	徽	Huī	Hui	
Pingyao		Píngyáo	平遥	37.1390706	111.9656111		ping1247	cjy	Sinitic	Jin	晋	Jìn	Jin	
Huhehaote		Hūhèhàotè	呼和浩特	40.855526	111.743889		huhe1234	cjy	Sinitic	Jin	晋	Jìn	Jin	
Tianjin		Tiānjīn	天津	39.186072	117.215424		tian1238	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jilu	
Qingdao	Tsingtao	Qīngdǎo	青岛	36.089393	120.379715		qing1240	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jiaoliao	
Nanjing		Nánjīng	南京	32.0989607	118.4575646		nanj1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Jianghuai	
Zhengzhou		Zhèngzhōu	郑州	34.807715	113.639374		zhen1241	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Guiyang		Guìyáng	贵阳	26.71691	106.638336		guiy1235	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Southwestern	
Ha_erbin	Harbin, Ha'erbin, Ha’erbin	Hāěrbīn	哈尔滨	45.846595	126.551056		haer1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Northeastern	
Yinchuan		Yínchuān	银川	38.546662	106.240082		yinc1239	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Lanzhou		Lánzhōu	兰州	36.080515	103.838425		lanz1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Xining		Xīníng	西宁	36.671283	101.776886		xini1234	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Wulumuqi	Ürümqi	Wūlǔmùqí	乌鲁木齐	43.8216271	87.4226688		wulu1243	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Rongcheng		Róngchéng	荣成	37.130642	122.434269		rong1271	cmn	Sinitic	Mandarin	管话	Guānhuà		
Jixi		Jìxī	绩溪	30.071111	118.592222		jixi1238	czh	Sinitic	Hui	徽	Huī		
Loudi		Lóudî	娄底	27.733333	111.9281883		loud1234	hsn	Sinitic	Xiang	湘	Xiāng		
Guilin		Guīlín	桂林	25.266667	110.283333		guil1241	(wuu)	Sinitic	Pinghua	平话	Pínghuà		
Yingshan		Yīngshān	英山	30.7462984	115.3468074		ying1249	cmn	Sinitic	Mandarin	管话	Guānhuà		It is not clear which Yingshan is meant, as there are many districts which could qualify as the name. Juding from the fact that Yingshan clusters closely with Wuhan, it is likely that it is 英山, east of Wǔhàn.
Anyi		Ānyì	安義	28.84359	115.54773		anyi1247	gan	Sinitic	Gan	赣	Gàn		Anyi is a city in the county of Nanchang.
Liancheng		Líanchéng	连城	25.566667	116.783333		lian1259	hak	Sinitic	Hakka	客家	Kèjiā		
Hankou		Hànkǒu	汉口	30.581179	114.272597		hank1234	cmn	Sinitic	Mandarin	管话	Guānhuà		Hankou remains a commonly used name for the part of Wuhan urban area north of the Yangtze and Han Rivers. [W] Hankou is the old name for a city that is now part of Wuhan.
Ningxia		Níngxià	宁夏	38.546662	106.240082		ning1279	cmn	Sinitic	Mandarin	管话	Guānhuà		Ningxia is a region in China, containing the city Yinchuan.
Yuci		Yúcì	榆次	37.6394177	112.5650222		yuci1234	cmn	Sinitic	Mandarin	管话	Guānhuà		In the map shown in Hamed2006, Yuci is placed close to Yingshan. however, comparing this with other maps, there is no place that could be identified with the name Yuci. I assume that, given that Yuci clusters as Northern dialect, it is much higher up in the North.
Zhangping		Zhāngpíng	漳平	25.283333	117.416667		zhan1240	nan	Sinitic	Min	闽	Mǐn		
Ningbo		Níngbō	宁波	29.866667	121.533333		ning1280	(wuu)	Sinitic	Wu	吴	Wú		
Shanghai_B		Shànghǎi	上海	31.222902	121.475372		shan1293	(wuu)	Sinitic	Wu	吴	Wú	Wu, Taihu	
Heping		Hépíng	和平	27.112778	117.297222		shao1235	mnp	Sinitic	Min	闽	Mǐn		
Zhenqian		Zhènqián	鎮前	25.2474987	119.2778522		zhen1242	mnp	Sinitic	Min	闽	Mǐn		
Jiangshan		Jiāngshān	江山	28.5629681	118.3206425	http://baike.baidu.com/view/763966.htm	long1386	wuu	Sinitic	Wu	吴	Wú		
Jiangyong		Jiāngyǒng					jian1243	hsn	Sinitic	Xiang	湘	Xiāng		
Old_Chinese		Shànggǔ Hànyǔ	上古汉语				shan1294		Sinitic	Old_Chinese				
Middle_Chinese		Zhōnggǔ Hànyǔ	中古汉语				zhon1237		Sinitic	Middle_Chinese				
Common_Chinese							comm1247		Sinitic	Middle_Chinese				
Jianchuan	Bai (Jianchuan), Jianchuan Bai	Jiànchuān	剑川	26.538056	99.910000		jian1239	bca	Bai	Central				
Eryuan		Ěryuán	洱源	26.0991374	99.9416161		eryu1239	bca	Bai	Central				
Heqing		Hèqìng	鹤庆	26.5536208	100.1396921		heqi1238	bca	Bai	Central				
Lanping		Lánpíng	兰坪	26.5158555	99.2581092		lanp1241	bca	Bai	Central				
Zhoucheng		Zhōuchéng	周城	25.8958633	100.0987848		zhou1234	bfs	Bai	Southern				
Qiliqiao		Qīlǐqiáo	七里桥	25.6553283	100.1709288		qili1234	bfs	Bai	Southern				
Yunlong		Yúnlóng	云龙	25.9223745	99.0352884		yunl1238	bca	Bai	Central				
Xiangyun		Xiángyún	祥云	25.5313657	100.4478932		xian1250	bfs	Bai	Southern				
Luobenzhuo		Lùběnzhuó	洛本卓	26.4240223	98.8862088		nuji1238	bfc	Bai	Northern				
Late_Han_Chinese							late1251		Sinitic	Old_Chinese				
Dancun		Dàncūn	淡村	22.2750324	112.7199202		danc1234	yue	Sinitic	Yue	粤	Yuè	Yue, Siyi	Yue-Hashimoto on Dancun: «Dancun is a small village lying in the central northern part of Taishan county and situated about thirty li west of Taicheng, while Baishui is within ten li west of it.»
Bijiang	Bai (Bijiang), Bijiang Bai						biji1251	bfc	Bai	Northern				
Dali	Bai (Dali), Dali Bai						dali1242	bfs	Bai	Southern				
